Location,Description,Price,Area
"Sector 34, Chandigarh","8 Bedroom House for sale","₹7.5 Cr","2,286 sqft"
"Sector 35, Chandigarh","9 Bedroom House for sale","₹13.5 Cr","3,150 sqft"
"Highland Luxuria","4 Bedroom House for sale","₹2.15 Cr","1,984 sqft"
"DLF Hyde Park Estate","3 Bedroom House for sale","₹1.75 - 1.75 Cr","1,880-1,884 sqft"
"GBP Rose Valley Estate","5 Bedroom House for sale","₹1.75 Cr","2,250 sqft"
"Highland Luxuria","4 Bedroom House for sale","₹2.15 Cr","1,984 sqft"
"Shivalik Enclave, NAC Sector 13","8 Bedroom House for sale","₹5.5 Cr","2,277 sqft"
"Golden Palms","10 Bedroom House for sale","₹1.1 Cr","1,650 sqft"
"DLF Hyde Park Estate","3 Bedroom House for sale","₹1.79 - 1.79 Cr","1,880-1,884 sqft"
"Escon Primera","3 Bedroom House for sale","₹1.62 Cr","2,050 sqft"
"Sector 35D, Chandigarh","3 Bedroom House for sale","₹10 Cr","3,042 sqft"
"Hiland Villa","4 Bedroom House for sale","₹1.9 Cr","30,000 sqft"
"ambar villa","3 Bedroom House for sale","₹1.35 Cr","2,160 sqft"
"Zirakpur, Chandigarh","3 Bedroom House for sale","₹1.35 Cr","2,320 sqft"
"Bhagat Singh Nagar, Chandigarh","2 Bedroom House for sale","₹31.75 Lac","700 sqft"
"New, Chandigarh","5 Bedroom House for sale","₹3.5 Cr","4,500 sqft"
"Sector 37, Chandigarh","3 Bedroom House for sale","₹10.5 Cr","3,006 sqft"
"Mohali, Chandigarh","4 Bedroom House for sale","₹3.3 Cr","2,250 sqft"
"Saidpura, Chandigarh","2 Bedroom House for sale","₹50 Lac","100 sqft"
"Sector 46 D","9 Bedroom House for sale","₹5.5 Cr","1,800 sqft"
"Burail, Chandigarh","6 Bedroom House for sale","₹1.25 Cr","400 sqft"
